x,y,u,v,p
3.82500000e+00,3.75000000e-02,2.24826745e-01,1.18336374e-04,2.70418874e-01
3.87500000e+00,3.75000000e-02,2.24557921e-01,1.14103686e-04,2.63858594e-01
3.92500000e+00,3.75000000e-02,2.24298714e-01,1.10030033e-04,2.57317908e-01
3.97500000e+00,3.75000000e-02,2.24048772e-01,1.06107432e-04,2.50796148e-01
4.02500000e+00,3.75000000e-02,2.23807750e-01,1.02327505e-04,2.44292665e-01
4.07500000e+00,3.75000000e-02,2.23575319e-01,9.86881772e-05,2.37806841e-01
4.12500000e+00,3.75000000e-02,2.23351168e-01,9.51842595e-05,2.31338075e-01
4.17500000e+00,3.75000000e-02,2.23134993e-01,9.18055040e-05,2.24885773e-01
4.22500000e+00,3.75000000e-02,2.22926499e-01,8.85483038e-05,2.18449389e-01
4.27500000e+00,3.75000000e-02,2.22725409e-01,8.54084557e-05,2.12028366e-01
4.32500000e+00,3.75000000e-02,2.22531452e-01,8.23822262e-05,2.05622190e-01
4.37500000e+00,3.75000000e-02,2.22344370e-01,7.94656685e-05,1.99230350e-01
4.42500000e+00,3.75000000e-02,2.22163922e-01,7.66533953e-05,1.92852357e-01
4.47500000e+00,3.75000000e-02,2.21989866e-01,7.39424398e-05,1.86487732e-01
4.52500000e+00,3.75000000e-02,2.21821970e-01,7.13301895e-05,1.80136021e-01
4.57500000e+00,3.75000000e-02,2.21660018e-01,6.88118488e-05,1.73796782e-01
4.62500000e+00,3.75000000e-02,2.21503793e-01,6.63794441e-05,1.67469579e-01
4.67500000e+00,3.75000000e-02,2.21353081e-01,6.40325998e-05,1.61154007e-01
4.72500000e+00,3.75000000e-02,2.21207692e-01,6.17734509e-05,1.54849674e-01
4.77500000e+00,3.75000000e-02,2.21067441e-01,5.95956077e-05,1.48556185e-01
4.82500000e+00,3.75000000e-02,2.20932143e-01,5.74942493e-05,1.42273169e-01
4.87500000e+00,3.75000000e-02,2.20801621e-01,5.54671489e-05,1.36000266e-01
4.92500000e+00,3.75000000e-02,2.20675706e-01,5.35134088e-05,1.29737130e-01
4.97500000e+00,3.75000000e-02,2.20554232e-01,5.16283133e-05,1.23483422e-01
5.02500000e+00,3.75000000e-02,2.20437037e-01,4.98094890e-05,1.17238823e-01
5.07500000e+00,3.75000000e-02,2.20323971e-01,4.80561833e-05,1.11003022e-01
5.12500000e+00,3.75000000e-02,2.20214892e-01,4.63651132e-05,1.04775717e-01
5.17500000e+00,3.75000000e-02,2.20109656e-01,4.47334837e-05,9.85566185e-02
5.22500000e+00,3.75000000e-02,2.20008130e-01,4.31585698e-05,9.23454482e-02
5.27500000e+00,3.75000000e-02,2.19910177e-01,4.16389750e-05,8.61419335e-02
5.32500000e+00,3.75000000e-02,2.19815670e-01,4.01754279e-05,7.99458263e-02
5.37500000e+00,3.75000000e-02,2.19724492e-01,3.87656274e-05,7.37568686e-02
5.42500000e+00,3.75000000e-02,2.19636524e-01,3.74072837e-05,6.75748283e-02
5.47500000e+00,3.75000000e-02,2.19551645e-01,3.60971210e-05,6.13994693e-02
5.52500000e+00,3.75000000e-02,2.19469737e-01,3.48375665e-05,5.52305886e-02
5.57500000e+00,3.75000000e-02,2.19390687e-01,3.36316021e-05,4.90679785e-02
5.62500000e+00,3.75000000e-02,2.19314373e-01,3.24829692e-05,4.29114417e-02
5.67500000e+00,3.75000000e-02,2.19240647e-01,3.14032631e-05,3.67608018e-02
5.72500000e+00,3.75000000e-02,2.19169310e-01,3.04263067e-05,3.06159000e-02
5.77500000e+00,3.75000000e-02,2.19100024e-01,2.96514605e-05,2.44766258e-02
5.82500000e+00,3.75000000e-02,2.19032063e-01,2.93884438e-05,1.83429464e-02
